Team,Home Goals,Away Goals,Home Goals Against,Away Goals Against,Shorts on Target Ratio,Corners,Win Percentage
Arsenal,1.06578947368,1.25986842105,-0.565789473684,-0.603070175439,5.51754385965,1.06603665211,1.17105263158
Birmingham,0.600877192982,0.625,-0.769736842105,-0.850877192982,5.5,0.601260510983,0.526315789474
Blackburn,0.678362573099,0.785087719298,-0.894736842105,-0.859649122807,5.41520467836,0.678630155826,0.654970760234
Fulham,0.712918660287,0.663875598086,-0.97966507177,-0.849282296651,5.61722488038,0.713114493797,0.598086124402
Leicester,0.618421052632,0.927631578947,-0.986842105263,-0.921052631579,5.67105263158,0.620182935972,0.447368421053
Man United,1.08114035088,1.23355263158,-0.549342105263,-0.486842105263,5.26315789474,1.08137272398,1.26754385965
Portsmouth,0.691729323308,0.609022556391,-0.896616541353,-0.830827067669,5.97744360902,0.691980570237,0.593984962406
Charlton,0.651315789474,0.680921052632,-0.976973684211,-0.822368421053,5.60526315789,0.651942788601,0.618421052632
Leeds,0.657894736842,0.592105263158,-1.22368421053,-1.26315789474,5.31578947368,0.660075603373,0.421052631579
Liverpool,0.997807017544,1.08881578947,-0.565789473684,-0.614035087719,5.58333333333,0.998024411133,1.06578947368
Bolton,0.675438596491,0.785087719298,-0.899122807018,-0.862573099415,5.7134502924,0.675678135078,0.66081871345
Chelsea,1.07894736842,1.21052631579,-0.480263157895,-0.421052631579,5.20394736842,1.07918081289,1.30701754386
Everton,0.80701754386,0.819078947368,-0.753289473684,-0.638157894737,5.62719298246,0.807221828421,0.833333333333
Man City,1.00657894737,1.08881578947,-0.644736842105,-0.68201754386,5.83114035088,1.00681938367,0.969298245614
Newcastle,0.717703349282,0.742822966507,-0.918660287081,-0.820574162679,5.37081339713,0.717911773235,0.665071770335
Southampton,0.815789473684,0.757894736842,-0.836842105263,-0.684210526316,5.19473684211,0.81630610268,0.694736842105
Tottenham,0.879385964912,0.888157894737,-0.819078947368,-0.723684210526,5.72149122807,0.87957616898,0.899122807018
Wolves,0.559210526316,0.700657894737,-1.28289473684,-0.993421052632,5.67763157895,0.559771276932,0.421052631579
Aston Villa,0.631578947368,0.858552631579,-0.842105263158,-0.800438596491,5.88815789474,0.631820554975,0.644736842105
Middlesbrough,0.688596491228,0.677631578947,-0.914473684211,-0.771929824561,5.40350877193,0.688925278991,0.59649122807
Norwich,0.598684210526,0.582236842105,-0.967105263158,-1.11184210526,5.36842105263,0.599216663057,0.460526315789
Crystal Palace,0.513157894737,0.75,-0.907894736842,-0.769736842105,5.26973684211,0.513981617966,0.605263157895
West Brom,0.615131578947,0.695723684211,-1.05098684211,-0.871710526316,5.10526315789,0.61542662716,0.467105263158
Sunderland,0.576023391813,0.657894736842,-0.995614035088,-0.836257309942,5.06140350877,0.576283841036,0.491228070175
West Ham,0.672514619883,0.679824561404,-0.995614035088,-0.780701754386,5.7485380117,0.672775839695,0.608187134503
Wigan,0.537593984962,0.710526315789,-0.992481203008,-0.875939849624,5.15037593985,0.537888564695,0.571428571429
Reading,0.631578947368,0.888157894737,-0.888157894737,-0.894736842105,6.17105263158,0.633219128153,0.684210526316
Sheffield United,0.631578947368,0.315789473684,-0.828947368421,-0.894736842105,6.21052631579,0.632621156853,0.526315789474
Watford,0.5,0.394736842105,-0.986842105263,-0.894736842105,5.28947368421,0.50152998776,0.263157894737
Derby,0.315789473684,0.315789473684,-1.69736842105,-1.21052631579,4.73684210526,0.316946211683,0.0526315789474
Hull,0.521052631579,0.655263157895,-1.03421052632,-0.868421052632,5.05263157895,0.521610539759,0.442105263158
Stoke,0.706766917293,0.586466165414,-0.733082706767,-0.838345864662,5.23308270677,0.70713027923,0.661654135338
Burnley,0.513157894737,0.611842105263,-1.00657894737,-1.10526315789,4.94736842105,0.514313403906,0.394736842105
Blackpool,0.789473684211,0.986842105263,-1.46052631579,-1.07894736842,5.71052631579,0.792273236282,0.526315789474
QPR,0.618421052632,0.75,-0.967105263158,-1.18421052632,5.69736842105,0.619625871909,0.473684210526
Swansea,0.789473684211,0.769736842105,-0.907894736842,-0.763157894737,5.21710526316,0.790192392747,0.657894736842
Cardiff,0.526315789474,0.473684210526,-1.38157894737,-1.02631578947,6.02631578947,0.527568922306,0.368421052632
