Team,Total Goals,Total Goals Against,Shorts on Target,Corners,Win Percentage
Arsenal,2.33133971292,-1.17224880383,5.48325358852,7.58373205742,1.17224880383
Birmingham,1.22587719298,-1.62061403509,5.5,4.76754385965,0.526315789474
Blackburn,1.4634502924,-1.75438596491,5.41520467836,5.71929824561,0.654970760234
Fulham,1.37679425837,-1.82894736842,5.61722488038,5.40669856459,0.598086124402
Leicester,1.64473684211,-2.07894736842,5.55263157895,5.63157894737,0.315789473684
Man United,2.35167464115,-1.02392344498,5.2990430622,8.03827751196,1.28708133971
Portsmouth,1.3007518797,-1.72744360902,5.97744360902,6.07518796992,0.593984962406
Charlton,1.33223684211,-1.79934210526,5.60526315789,4.76315789474,0.618421052632
Leeds,1.25,-2.48684210526,5.31578947368,4.76315789474,0.421052631579
Liverpool,2.12559808612,-1.14832535885,5.60526315789,7.52392344498,1.07655502392
Bolton,1.46052631579,-1.76169590643,5.7134502924,6.38888888889,0.66081871345
Chelsea,2.27870813397,-0.895933014354,5.18421052632,7.76794258373,1.3014354067
Everton,1.63397129187,-1.37320574163,5.68181818182,5.9976076555,0.851674641148
Man City,2.04066985646,-1.33971291866,5.77990430622,6.67703349282,0.942583732057
Newcastle,1.48289473684,-1.71184210526,5.36578947368,5.87631578947,0.678947368421
Southampton,1.55592105263,-1.64144736842,5.23684210526,5.31578947368,0.631578947368
Tottenham,1.75717703349,-1.52751196172,5.68660287081,7.03588516746,0.88995215311
Wolves,1.25986842105,-2.27631578947,5.67763157895,5.48026315789,0.421052631579
Aston Villa,1.53588516746,-1.62559808612,5.96172248804,5.36363636364,0.655502392344
Middlesbrough,1.36622807018,-1.68640350877,5.40350877193,6.02631578947,0.59649122807
Norwich,1.18092105263,-2.07894736842,5.36842105263,4.79605263158,0.460526315789
Crystal Palace,1.15789473684,-1.67105263158,5.21052631579,4.10526315789,0.578947368421
West Brom,1.32894736842,-1.95676691729,5.18421052632,5.42105263158,0.451127819549
Sunderland,1.26151315789,-1.84210526316,5.06578947368,5.11513157895,0.506578947368
West Ham,1.34539473684,-1.81414473684,5.69736842105,5.20723684211,0.605263157895
Wigan,1.24812030075,-1.86842105263,5.15037593985,6.04511278195,0.571428571429
Reading,1.51973684211,-1.78289473684,6.17105263158,4.75,0.684210526316
Sheffield United,0.947368421053,-1.72368421053,6.21052631579,5.31578947368,0.526315789474
Watford,0.894736842105,-1.88157894737,5.28947368421,4.52631578947,0.263157894737
Derby,0.631578947368,-2.90789473684,4.73684210526,4.78947368421,0.0526315789474
Hull,1.20723684211,-1.96381578947,5.04605263158,4.28947368421,0.447368421053
Stoke,1.26315789474,-1.58771929825,5.17105263158,4.12280701754,0.640350877193
Burnley,1.32894736842,-2.55263157895,5.26315789474,6.0,0.421052631579
Blackpool,1.77631578947,-2.53947368421,5.71052631579,6.18421052632,0.526315789474
QPR,1.38157894737,-2.06578947368,5.89473684211,6.94736842105,0.526315789474
Swansea,1.59210526316,-1.70175438596,5.44736842105,4.97368421053,0.59649122807
Cardiff,1.0,-2.40789473684,6.02631578947,3.31578947368,0.368421052632
